ID,NAME,PREFECTURE,LATITUDE,LONGTITUDE,ALTITUDE
1,Lake Johathanshire,Florida,69.38,-50.61,1.00
2,Randytown,Texas,57.79,21.02,5.00
3,Jolieborough,Connecticut,9.44,52.45,1.00
4,South Sierrachester,Arkansas,-11.25,10.12,8.00
5,South Theo,Wyoming,-83.02,-164.76,3.00
6,East Hazelburgh,NewYork,9.44,-43.32,7.00
7,Aliceborough,Maine,79.18,-41.34,6.00
8,Port Kodyberg,Georgia,-52.61,33.54,5.00
9,Lake Abbigailberg,Nebraska,-63.18,-164.03,1.00
10,Deronchester,NewHampshire,-31.68,-18.71,5.00
11,Port Tadfort,Louisiana,12.45,-168.28,1.00
12,Alfonzoborough,Alabama,-85.66,147.14,5.00
13,Devanton,NewJersey,32.89,69.84,0.00
14,Schambergerburgh,Alabama,19.92,-127.84,4.00
15,Olsonmouth,Ohio,53.19,-174.97,6.00
16,West Murl,Florida,-70.20,-9.76,2.00
17,Port Aracelibury,SouthDakota,-36.74,-90.62,0.00
18,Emardborough,SouthCarolina,-28.13,-43.56,0.00
19,East Phoebeville,Florida,81.92,-70.27,5.00
20,North Alizaton,Utah,-43.94,-60.96,3.00
21,Abbottchester,Vermont,-22.44,-59.77,1.00
22,Larkinfurt,Connecticut,69.97,133.29,3.00
23,New Sarah,Alabama,-47.73,-137.19,1.00
24,Rennershire,Kentucky,8.53,-96.71,8.00
25,Schummchester,Michigan,-4.05,85.19,7.00
26,Lake Priscillabury,Wyoming,-39.13,54.43,6.00
27,Veumfort,Missouri,81.62,-157.86,7.00
28,New Mattieside,SouthDakota,25.04,45.34,5.00
29,Veronafort,NewYork,-69.35,-141.00,2.00
30,Lake Godfreyport,NewYork,29.42,-75.41,7.00